epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1942.7,0.41882,0.225,0.9555,0.28794,0.11284,0.11564,0.06961,2.19337,5.1039,1.9584,0.0011882,0.0011882,0.0011882
43,1988,0.41911,0.22283,0.95708,0.26531,0.12451,0.1487,0.11262,2.0081,5.01632,1.75715,0.0011684,0.0011684,0.0011684
44,2033.17,0.41949,0.22158,0.95516,0.23947,0.11284,0.10717,0.06997,2.15819,5.09372,1.72861,0.0011486,0.0011486,0.0011486
45,2078.66,0.41491,0.22063,0.95425,0.15061,0.11673,0.0996,0.06479,2.29376,5.11162,1.8805,0.0011288,0.0011288,0.0011288
46,2123.92,0.41476,0.22196,0.95565,0.30942,0.10117,0.11237,0.07829,2.13558,5.00446,1.74276,0.001109,0.001109,0.001109
47,2169.96,0.41587,0.21937,0.95376,0.43924,0.16764,0.20924,0.13598,2.02118,4.09746,1.53606,0.0010892,0.0010892,0.0010892
48,2215.9,0.41472,0.22148,0.95197,0.26058,0.14397,0.15746,0.10464,2.29657,4.99845,1.72661,0.0010694,0.0010694,0.0010694
49,2261.58,0.4106,0.21444,0.94794,0.23322,0.14397,0.14324,0.10177,2.0335,4.82935,1.56603,0.0010496,0.0010496,0.0010496
50,2307.67,0.40916,0.21322,0.94973,0.33289,0.11673,0.16032,0.1041,2.2024,4.89218,1.7609,0.0010298,0.0010298,0.0010298
51,2353.53,0.4096,0.21315,0.9495,0.20894,0.11673,0.12549,0.08369,2.1628,5.02063,1.68643,0.00101,0.00101,0.00101
52,2400.97,0.40372,0.21175,0.94592,0.20264,0.17899,0.19129,0.13224,2.2498,4.94125,1.73505,0.0009902,0.0009902,0.0009902
53,2447.33,0.40329,0.21116,0.94752,0.45569,0.11673,0.17828,0.12198,2.08701,4.79943,1.61033,0.0009704,0.0009704,0.0009704
54,2494.14,0.39894,0.20921,0.94355,0.2628,0.10895,0.15273,0.10259,2.13121,4.86431,1.64406,0.0009506,0.0009506,0.0009506
55,2539.92,0.39559,0.20685,0.94284,0.14098,0.16732,0.14965,0.10307,2.33109,5.10583,1.81964,0.0009308,0.0009308,0.0009308
56,2585.32,0.40232,0.21195,0.94604,0.25097,0.11284,0.12285,0.08753,2.16366,5.19213,1.74847,0.000911,0.000911,0.000911
57,2631.45,0.40168,0.21109,0.94453,0.38713,0.1284,0.16317,0.10529,2.11178,4.37245,1.70607,0.0008912,0.0008912,0.0008912
58,2677.75,0.39396,0.21123,0.942,0.36923,0.12062,0.15158,0.10015,2.09683,4.71768,1.70138,0.0008714,0.0008714,0.0008714
59,2723.88,0.38912,0.20439,0.94288,0.40676,0.13619,0.15428,0.10042,2.24357,4.63647,1.79702,0.0008516,0.0008516,0.0008516
60,2769.61,0.38928,0.20548,0.93995,0.41675,0.11284,0.13585,0.08672,2.26322,4.77116,1.83731,0.0008318,0.0008318,0.0008318
61,2815.59,0.38915,0.20443,0.94253,0.3863,0.14397,0.16803,0.11443,2.2337,4.4851,1.81593,0.000812,0.000812,0.000812
62,2861.32,0.38853,0.20409,0.94326,0.27566,0.10506,0.13425,0.09593,2.19621,5.01459,1.81076,0.0007922,0.0007922,0.0007922
63,2907.96,0.3882,0.20418,0.94188,0.4874,0.1323,0.17918,0.12688,2.05604,4.50571,1.66357,0.0007724,0.0007724,0.0007724
64,2953.38,0.38718,0.20102,0.94026,0.37229,0.11284,0.16732,0.11551,2.19558,4.8911,1.82306,0.0007526,0.0007526,0.0007526
65,2998.92,0.37882,0.19606,0.93564,0.56241,0.08949,0.15112,0.10334,2.15702,5.1269,1.81973,0.0007328,0.0007328,0.0007328
66,3045.2,0.3867,0.1989,0.94049,0.37627,0.08171,0.11956,0.0848,2.20275,5.28861,1.81719,0.000713,0.000713,0.000713
67,3091.02,0.37789,0.19645,0.93493,0.35913,0.11284,0.15815,0.10456,2.17967,5.15761,1.83783,0.0006932,0.0006932,0.0006932
68,3137.31,0.37525,0.1952,0.93606,0.35603,0.10506,0.15318,0.10488,2.17219,5.1647,1.73147,0.0006734,0.0006734,0.0006734
69,3183.55,0.3754,0.19633,0.93451,0.41556,0.10895,0.16206,0.10525,2.2884,5.20699,1.83366,0.0006536,0.0006536,0.0006536
70,3229.32,0.3722,0.19413,0.93545,0.39767,0.10895,0.16211,0.11047,2.30964,5.13948,1.84045,0.0006338,0.0006338,0.0006338
71,3276.32,0.37604,0.19773,0.93699,0.34875,0.1417,0.16769,0.11544,2.17871,4.65427,1.72946,0.000614,0.000614,0.000614
72,3324.06,0.37834,0.19823,0.93392,0.29414,0.12451,0.14218,0.09405,2.21775,4.95374,1.77901,0.0005942,0.0005942,0.0005942
73,3372.05,0.36784,0.19086,0.92678,0.24074,0.12955,0.13621,0.09013,2.25006,4.92448,1.8727,0.0005744,0.0005744,0.0005744
74,3419.94,0.36881,0.19078,0.93379,0.15416,0.09728,0.11365,0.07732,2.32103,5.41099,1.95504,0.0005546,0.0005546,0.0005546
75,3467.61,0.36897,0.18951,0.9343,0.25513,0.11284,0.12657,0.08307,2.23548,5.36675,1.92492,0.0005348,0.0005348,0.0005348
76,3516.15,0.36355,0.18727,0.93157,0.27513,0.10895,0.16041,0.10227,2.2254,5.16058,1.88418,0.000515,0.000515,0.000515
77,3563.67,0.36727,0.19007,0.93169,0.28852,0.11519,0.14317,0.09385,2.17645,5.34782,1.84692,0.0004952,0.0004952,0.0004952
78,3610.3,0.36655,0.18914,0.93289,0.27066,0.10117,0.13145,0.09177,2.22308,5.49984,1.85275,0.0004754,0.0004754,0.0004754
79,3656.72,0.36623,0.18791,0.93261,0.36839,0.11284,0.16372,0.11032,2.19026,5.13383,1.81067,0.0004556,0.0004556,0.0004556
80,3704.18,0.36398,0.18587,0.9292,0.37475,0.12451,0.17167,0.1189,2.24463,5.13337,1.84073,0.0004358,0.0004358,0.0004358
81,3749.16,0.35555,0.18272,0.92597,0.39309,0.11284,0.17281,0.1267,2.13414,4.98307,1.75462,0.000416,0.000416,0.000416
82,3795.52,0.3611,0.18601,0.92839,0.35257,0.12062,0.17098,0.119,2.15717,4.92018,1.7712,0.0003962,0.0003962,0.0003962
83,3841.49,0.35847,0.1862,0.92845,0.30929,0.12062,0.15677,0.10964,2.35281,5.24382,1.93004,0.0003764,0.0003764,0.0003764
84,3887.16,0.35118,0.18061,0.92456,0.37304,0.12039,0.18177,0.12809,2.18334,4.84853,1.7833,0.0003566,0.0003566,0.0003566
85,3933.43,0.35588,0.18207,0.92851,0.38702,0.10117,0.15816,0.11087,2.37068,5.377,1.96433,0.0003368,0.0003368,0.0003368
86,3979.83,0.35368,0.18391,0.92761,0.32465,0.10475,0.14802,0.10236,2.32462,5.3285,1.92502,0.000317,0.000317,0.000317
87,4026.02,0.3476,0.17832,0.92345,0.36065,0.10506,0.15031,0.10641,2.20792,5.21797,1.8529,0.0002972,0.0002972,0.0002972
88,4073.41,0.34956,0.17757,0.92577,0.1284,0.1284,0.12688,0.08907,2.38019,5.5868,1.96783,0.0002774,0.0002774,0.0002774
89,4120.42,0.34623,0.17523,0.92147,0.32536,0.10895,0.13435,0.09164,2.3816,5.50619,1.96592,0.0002576,0.0002576,0.0002576
90,4167.22,0.34391,0.17413,0.92086,0.30163,0.11284,0.16054,0.11016,2.31738,5.33965,1.9062,0.0002378,0.0002378,0.0002378
91,4245.29,0.25855,0.13695,0.86054,0.36136,0.14786,0.17507,0.12244,2.15198,4.29708,1.71773,0.000218,0.000218,0.000218
92,4290.66,0.25145,0.13218,0.85965,0.29369,0.1323,0.17217,0.11956,2.00445,4.09968,1.63475,0.0001982,0.0001982,0.0001982
93,4337.03,0.24743,0.12775,0.85102,0.3078,0.1323,0.17425,0.12297,1.95452,4.00329,1.60589,0.0001784,0.0001784,0.0001784
94,4383.97,0.24479,0.12572,0.85433,0.18557,0.21012,0.18885,0.13618,1.94978,3.96715,1.62282,0.0001586,0.0001586,0.0001586
95,4430.6,0.24203,0.12319,0.85366,0.20243,0.19455,0.19853,0.14452,2.02729,4.10143,1.67276,0.0001388,0.0001388,0.0001388
96,4481.06,0.24028,0.12323,0.85164,0.21525,0.18677,0.2032,0.14543,2.09408,4.26222,1.71025,0.000119,0.000119,0.000119
97,4532.1,0.24012,0.12217,0.85227,0.21287,0.16732,0.19685,0.14137,2.11052,4.35174,1.70829,9.92e-05,9.92e-05,9.92e-05
98,4583.91,0.23615,0.11952,0.85037,0.23077,0.18677,0.20963,0.14702,2.0999,4.28192,1.68854,7.94e-05,7.94e-05,7.94e-05
99,4635.58,0.23469,0.11931,0.84939,0.24868,0.18288,0.22086,0.15879,2.11529,4.2949,1.70006,5.96e-05,5.96e-05,5.96e-05
100,4687.2,0.23424,0.11895,0.84592,0.25389,0.19066,0.22368,0.1608,2.14175,4.29442,1.71806,3.98e-05,3.98e-05,3.98e-05
