epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,576.977,0.46922,0.26983,0.98001,0.99716,1,0.99466,0.94439,0.35413,0.20702,0.91135,0.0011684,0.0011684,0.0011684
44,590.231,0.43559,0.25297,0.97299,0.99495,1,0.9944,0.93384,0.38,0.21527,0.91959,0.0011486,0.0011486,0.0011486
45,604.207,0.45345,0.25636,0.97373,0.99253,1,0.99453,0.94993,0.35443,0.2116,0.91018,0.0011288,0.0011288,0.0011288
46,617.145,0.434,0.25021,0.96906,0.99485,1,0.99429,0.93167,0.38029,0.20829,0.9188,0.001109,0.001109,0.001109
47,630.678,0.42814,0.23924,0.96216,0.99013,1,0.99429,0.94619,0.3357,0.19105,0.90261,0.0010892,0.0010892,0.0010892
48,644.508,0.44697,0.24976,0.9751,0.99254,1,0.99313,0.94617,0.35292,0.19899,0.9164,0.0010694,0.0010694,0.0010694
49,657.836,0.43263,0.2435,0.96596,0.99581,1,0.99446,0.94504,0.36711,0.20541,0.92066,0.0010496,0.0010496,0.0010496
50,671.183,0.42617,0.2443,0.95859,0.99014,1,0.99453,0.95217,0.34673,0.19164,0.90714,0.0010298,0.0010298,0.0010298
51,684.527,0.44223,0.24819,0.9717,0.99501,1,0.9941,0.94682,0.34113,0.18864,0.90474,0.00101,0.00101,0.00101
52,697.952,0.42242,0.24528,0.96795,0.99027,1,0.99354,0.94501,0.34678,0.19397,0.90991,0.0009902,0.0009902,0.0009902
53,711.295,0.43649,0.24572,0.96787,0.99029,0.99985,0.99389,0.94542,0.34831,0.18841,0.90936,0.0009704,0.0009704,0.0009704
54,724.755,0.43001,0.24066,0.96255,0.99501,1,0.99473,0.95143,0.34622,0.18822,0.9078,0.0009506,0.0009506,0.0009506
55,738.269,0.4264,0.23681,0.95987,0.99744,1,0.99498,0.94703,0.35526,0.19664,0.9175,0.0009308,0.0009308,0.0009308
56,751.758,0.41807,0.23474,0.96115,0.99191,1,0.99379,0.94404,0.34438,0.19569,0.91798,0.000911,0.000911,0.000911
57,765.2,0.42921,0.23873,0.96039,0.995,1,0.99434,0.9425,0.34802,0.19258,0.91027,0.0008912,0.0008912,0.0008912
58,778.614,0.42792,0.23874,0.9694,0.99028,1,0.99314,0.94387,0.34611,0.19178,0.90642,0.0008714,0.0008714,0.0008714
59,791.751,0.42955,0.24125,0.97114,0.98785,1,0.99413,0.95194,0.33595,0.2056,0.90642,0.0008516,0.0008516,0.0008516
60,805.04,0.40862,0.23317,0.94944,0.99755,0.99969,0.99419,0.95234,0.33523,0.18166,0.89945,0.0008318,0.0008318,0.0008318
61,818.958,0.41537,0.23376,0.96018,0.99728,1,0.99456,0.94679,0.33849,0.18969,0.90937,0.000812,0.000812,0.000812
62,832.479,0.41571,0.23027,0.95572,0.99739,1,0.99368,0.94507,0.34246,0.18619,0.90949,0.0007922,0.0007922,0.0007922
63,846.235,0.39919,0.22291,0.9567,0.99261,1,0.99451,0.95161,0.33572,0.18378,0.90366,0.0007724,0.0007724,0.0007724
64,859.846,0.40847,0.22839,0.95293,0.99741,1,0.99326,0.94243,0.34213,0.18916,0.91519,0.0007526,0.0007526,0.0007526
65,873.071,0.40748,0.22271,0.9552,0.99498,1,0.99395,0.9475,0.33826,0.17915,0.90722,0.0007328,0.0007328,0.0007328
66,886.903,0.40876,0.2259,0.95552,0.99722,1,0.99361,0.94783,0.33608,0.18385,0.91437,0.000713,0.000713,0.000713
67,900.589,0.40135,0.22344,0.94906,0.99496,1,0.99414,0.95542,0.33187,0.17784,0.90527,0.0006932,0.0006932,0.0006932
68,913.898,0.40587,0.22077,0.9553,0.99445,1,0.99352,0.94679,0.33873,0.1852,0.9099,0.0006734,0.0006734,0.0006734
69,927.555,0.39842,0.22372,0.94734,0.99741,1,0.99368,0.95208,0.32581,0.1711,0.89383,0.0006536,0.0006536,0.0006536
70,940.675,0.39748,0.21732,0.95464,0.99354,1,0.99447,0.95031,0.33423,0.18232,0.90637,0.0006338,0.0006338,0.0006338
71,954.643,0.40283,0.21904,0.94797,0.99739,1,0.99454,0.9508,0.33547,0.18442,0.90924,0.000614,0.000614,0.000614
72,968.254,0.392,0.21496,0.9473,0.99741,1,0.99282,0.9491,0.34545,0.18368,0.91279,0.0005942,0.0005942,0.0005942
73,981.512,0.38987,0.2134,0.94452,0.99421,1,0.99426,0.95175,0.31982,0.17352,0.89191,0.0005744,0.0005744,0.0005744
74,994.6,0.38653,0.20938,0.9456,0.99014,1,0.99485,0.95414,0.32052,0.1725,0.89192,0.0005546,0.0005546,0.0005546
75,1008.15,0.39781,0.21273,0.94924,0.99741,1,0.99468,0.9528,0.32451,0.17208,0.89619,0.0005348,0.0005348,0.0005348
76,1021.23,0.37783,0.20578,0.94251,0.99194,1,0.99412,0.9566,0.31637,0.16583,0.89227,0.000515,0.000515,0.000515
77,1034.93,0.38751,0.21074,0.9423,0.98967,1,0.99351,0.95109,0.32546,0.17024,0.89575,0.0004952,0.0004952,0.0004952
78,1048.09,0.38003,0.2019,0.93669,0.99256,1,0.99425,0.95645,0.31908,0.16311,0.89163,0.0004754,0.0004754,0.0004754
79,1061.55,0.37613,0.20406,0.94137,0.99102,1,0.9937,0.95241,0.31927,0.16204,0.89619,0.0004556,0.0004556,0.0004556
80,1075.32,0.39,0.20911,0.941,0.99014,1,0.99435,0.95263,0.31905,0.16261,0.88769,0.0004358,0.0004358,0.0004358
81,1088.55,0.37452,0.20907,0.93505,0.9877,1,0.99397,0.95441,0.30983,0.1656,0.88671,0.000416,0.000416,0.000416
82,1101.73,0.3828,0.20984,0.94545,0.99254,1,0.99325,0.95408,0.31719,0.16376,0.89422,0.0003962,0.0003962,0.0003962
83,1114.82,0.37172,0.2046,0.94437,0.99231,1,0.99446,0.9577,0.31334,0.15965,0.89297,0.0003764,0.0003764,0.0003764
84,1128.09,0.37581,0.2072,0.93621,0.99256,1,0.9943,0.9592,0.31481,0.16086,0.8941,0.0003566,0.0003566,0.0003566
85,1142.25,0.37323,0.20373,0.93825,0.99255,1,0.99413,0.95855,0.31414,0.15861,0.89094,0.0003368,0.0003368,0.0003368
86,1156.89,0.3733,0.2038,0.93892,0.99497,1,0.99444,0.95473,0.31461,0.15931,0.89341,0.000317,0.000317,0.000317
87,1170.18,0.36907,0.20338,0.93481,0.99453,1,0.9937,0.95611,0.31313,0.15914,0.89328,0.0002972,0.0002972,0.0002972
88,1183.44,0.38228,0.20472,0.94004,0.99374,1,0.99371,0.95878,0.31763,0.15994,0.89566,0.0002774,0.0002774,0.0002774
89,1197.13,0.36447,0.19746,0.93354,0.99259,1,0.99272,0.95655,0.31838,0.15914,0.89612,0.0002576,0.0002576,0.0002576
90,1210.68,0.37324,0.20222,0.93474,0.99504,1,0.99295,0.95717,0.30956,0.15587,0.88977,0.0002378,0.0002378,0.0002378
91,1254.92,0.27154,0.15748,0.86536,0.99499,1,0.99422,0.95267,0.32167,0.16411,0.89828,0.000218,0.000218,0.000218
92,1268.31,0.26112,0.14798,0.8589,0.99741,1,0.99436,0.95722,0.31323,0.15804,0.89092,0.0001982,0.0001982,0.0001982
93,1281.58,0.26081,0.14431,0.85928,0.99498,1,0.99445,0.958,0.31654,0.15996,0.88885,0.0001784,0.0001784,0.0001784
94,1295.2,0.25816,0.14406,0.85908,0.99497,1,0.99453,0.95569,0.31326,0.15853,0.89065,0.0001586,0.0001586,0.0001586
95,1308.7,0.25867,0.14245,0.86016,0.99461,1,0.99463,0.95917,0.31413,0.16055,0.88987,0.0001388,0.0001388,0.0001388
96,1322.08,0.25466,0.13944,0.86198,0.99693,1,0.99476,0.95857,0.30619,0.15726,0.8863,0.000119,0.000119,0.000119
97,1335.01,0.25347,0.13697,0.85698,0.99696,1,0.99456,0.96044,0.30539,0.15261,0.88485,9.92e-05,9.92e-05,9.92e-05
98,1348.62,0.25206,0.1368,0.86252,0.99407,1,0.99443,0.9599,0.30775,0.15276,0.88616,7.94e-05,7.94e-05,7.94e-05
99,1362.48,0.24988,0.13479,0.85555,0.99485,1,0.99439,0.96194,0.3033,0.15026,0.88323,5.96e-05,5.96e-05,5.96e-05
100,1375.81,0.24503,0.13049,0.85616,0.99247,1,0.99418,0.96154,0.30615,0.1508,0.88509,3.98e-05,3.98e-05,3.98e-05
