epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1931.68,0.43981,0.24366,0.96899,0.26317,0.15175,0.14515,0.1002,1.86352,3.86332,1.71177,0.0011882,0.0011882,0.0011882
43,1976.99,0.44022,0.24307,0.96782,0.40764,0.17121,0.19685,0.14092,1.91588,3.82709,1.71529,0.0011684,0.0011684,0.0011684
44,2022.48,0.43068,0.23351,0.96203,0.2213,0.16732,0.16635,0.11405,1.954,3.71634,1.75759,0.0011486,0.0011486,0.0011486
45,2068.58,0.42783,0.23528,0.96114,0.22717,0.1323,0.12319,0.08931,1.93775,4.10635,1.69986,0.0011288,0.0011288,0.0011288
46,2113.42,0.4291,0.23358,0.96345,0.145,0.10895,0.09282,0.06259,2.12477,4.75836,1.93896,0.001109,0.001109,0.001109
47,2158.14,0.42937,0.23145,0.96693,0.57253,0.1284,0.17036,0.11708,1.95225,3.96443,1.80737,0.0010892,0.0010892,0.0010892
48,2203.05,0.42741,0.232,0.95952,0.4216,0.16732,0.22161,0.14294,2.04268,4.21632,1.92317,0.0010694,0.0010694,0.0010694
49,2248.15,0.4283,0.23159,0.96125,0.28587,0.17121,0.16958,0.11285,1.96426,3.96548,1.79411,0.0010496,0.0010496,0.0010496
50,2294.55,0.42205,0.22957,0.95648,0.45166,0.19844,0.19715,0.14202,1.75538,3.63897,1.65146,0.0010298,0.0010298,0.0010298
51,2339.85,0.41999,0.22491,0.95819,0.31171,0.16565,0.15086,0.11002,1.83479,4.27736,1.6993,0.00101,0.00101,0.00101
52,2386.05,0.41789,0.22484,0.95575,0.26025,0.1323,0.12826,0.08956,1.96696,4.0678,1.77177,0.0009902,0.0009902,0.0009902
53,2430.85,0.41896,0.2263,0.9586,0.23146,0.11673,0.12134,0.08891,1.9992,4.51563,1.87493,0.0009704,0.0009704,0.0009704
54,2475.99,0.41794,0.22506,0.95675,0.44054,0.17121,0.17737,0.12434,1.86551,4.08385,1.73593,0.0009506,0.0009506,0.0009506
55,2522.36,0.41016,0.21999,0.95238,0.41276,0.15564,0.16086,0.11703,2.00979,4.32443,1.83689,0.0009308,0.0009308,0.0009308
56,2566.98,0.40361,0.21804,0.94921,0.25935,0.1323,0.16279,0.11351,1.98208,4.31532,1.75937,0.000911,0.000911,0.000911
57,2611.87,0.41828,0.2249,0.9606,0.38675,0.17899,0.18952,0.13612,1.82991,3.78956,1.59036,0.0008912,0.0008912,0.0008912
58,2657.18,0.41108,0.22052,0.953,0.28589,0.15889,0.15936,0.11043,2.06477,4.35337,1.84953,0.0008714,0.0008714,0.0008714
59,2703.8,0.40625,0.21896,0.95264,0.59715,0.12451,0.15912,0.11756,2.02218,4.09506,1.81207,0.0008516,0.0008516,0.0008516
60,2748.81,0.4064,0.218,0.9524,0.28117,0.14397,0.13275,0.08943,2.0407,4.70337,1.91181,0.0008318,0.0008318,0.0008318
